"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Lincoln College of Technology-Denver","Denver","CO","www.lincolnedu.com/campus/denver-co","www.lincolnedu.com/net-price-calculator",39.77651,-104.856171,3
"Denver Seminary","Littleton","CO","www.denverseminary.edu","www.denverseminary.edu/admissions/financial-aid/financial-aid-calculator/",39.600595,-105.022363,2
"Westwood College-Denver North","Denver","CO","www.westwood.edu","ccc.westwood.edu",39.830429,-104.986386,3
"University of Denver","Denver","CO","www.du.edu","https://www.du.edu/financialaid/undergraduate/calculator/index.html",39.695954,-104.964625,2
"Emily Griffith Technical College","Denver","CO","www.emilygriffith.edu","www.emilygriffith.edu/net-price-calculator",39.74574,-104.985711,1
"Fort Lewis College","Durango","CO","fortlewis.edu/","www.fortlewis.edu/home/Cost.aspx",37.275428,-107.867003,1
"Front Range Community College","Westminster","CO","www.frontrange.edu","www.frontrange.edu/npc/",39.901757,-105.039359,1
"Glenwood Beauty Academy","Glenwood Springs","CO","glenwoodbeautyacademy.org","www.glenwoodbeautyacademy.org",39.561947,-107.359099,3
"Hair Dynamics Education Center","Fort Collins","CO","www.hairdynamics.com","www.hairdynamics.com",40.497241,-105.076492,3
"Iliff School of Theology","Denver","CO","www.iliff.edu","NULL",39.674876,-104.959703,2
"International Salon and Spa Academy","Colorado Springs","CO","www.issaco.edu","www.issaco.edu",38.913621,-104.786252,3
"Lamar Community College","Lamar","CO","www.lamarcc.edu","www.lamarcc.edu/admission/paying-for-college/net-price-calculator/",38.058067,-102.615612,1
"Colorado Mesa University","Grand Junction","CO","www.coloradomesa.edu","www.coloradomesa.edu/finaid/finaidest.html",39.076354,-108.540281,1
"Metropolitan State University of Denver","Denver","CO","www.msudenver.edu/","www.collegeportraits.org/CO/MSU_Denver/estimator/agree",39.742248,-105.002391,1
"Morgan Community College","Fort  Morgan","CO","www.morgancc.edu","www.morgancc.edu/npc/npcalc.htm",40.258792,-103.771822,1
"Naropa University","Boulder","CO","www.naropa.edu","www.naropa.edu/costs-aid/costs/undergraduate-costs/cost-calculator.php",40.014816,-105.267073,2
"National American University-Colorado Springs","Colorado Springs","CO","www.national.edu/locations/campuses/colorado-springs/","www.national.edu/admissions-financial/financial-aid/net-price-calculator/",38.95211,-104.790581,3
"National American University-Denver","Denver","CO","www.national.edu/locations/campuses/centennial/","www.national.edu/admissions-financial/financial-aid/net-price-calculator/",39.691953,-104.941649,3
"Nazarene Bible College","Colorado Springs","CO","www.nbc.edu","www.nbc.edu/core/includes/net-price-calculator/npcalc.htm",38.814124,-104.751124,2
"Northeastern Junior College","Sterling","CO","www.njc.edu","www.njc.edu/Admissions-and-Financial-Aid/Cost-to-Attend",40.636879,-103.197536,1
"University of Northern Colorado","Greeley","CO","www.unco.edu","www.unco.edu/ofa/netpricecalc/",40.403178,-104.701721,1
"Otero Junior College","La Junta","CO","WWW.OJC.EDU","https://www.ojc.edu/Calculator/TuitionCalculator.aspx",37.971184,-103.544779,1
"Everest College-Thornton","Thornton","CO","www.everest.edu/campus/thornton","www.Everest.edu/npc",39.86156,-104.985441,3
"Pikes Peak Community College","Colorado Springs","CO","www.ppcc.edu","www.ppcc.edu/paying-for-college/tuition-calculator/",38.764287,-104.787261,1
"IBMC College","Colorado Springs","CO","www.ibmc.edu","ibmc.edu/net-price-calculator/",38.931,-104.814211,3
"Pueblo Community College","Pueblo","CO","www.pueblocc.edu","www.pueblocc.edu/NetPriceCalculator/index.htm",38.263458,-104.636396,1
"Red Rocks Community College","Lakewood","CO","www.rrcc.edu","www.rrcc.edu/net_price_calculator/npcalc.htm",39.720277,-105.150094,1
"Regis University","Denver","CO","www.regis.edu/","www.regis.edu/RC/Financial-Aid/Applying-for-Aid/Net-Price-Calculator.aspx",39.78976,-105.031385,2
"Rocky Mountain College of Art and Design","Lakewood","CO","www.rmcad.edu","www.rmcad.edu/student-information",39.74332,-105.069911,3
"Montessori Education Center of the Rockies","Boulder","CO","www.mecr.edu","www.mecr.edu",39.96504,-105.25311,2
"Colorado State University-Pueblo","Pueblo","CO","www.csupueblo.edu","www.csupueblo.edu/IR/NetPriceCalculator/Pages/default.aspx",38.309219,-104.579846,1
"Pickens Technical College","Aurora","CO","www.pickenstech.org","www.pickenstech.org",39.723527,-104.78998,1
"Intellitec College-Colorado Springs","Colorado Springs","CO","www.IntelliTecCollege.com","www.intelliteccollege.com/your-right-to-know/institution_netpricecalculator_cs/npcalc.htm",38.832183,-104.78721,3
"Intellitec College-Grand Junction","Grand Junction","CO","www.intellitec.edu","www.intellitec.edu",39.116346,-108.53062,3
"Trinidad State Junior College","Trinidad","CO","www.trinidadstate.edu/","www.trinidadstate.edu/students/net-price-calculator",37.172939,-104.512184,1
"Empire Beauty School-Thornton","Thornton","CO","www.empire.edu","www.empire.edu/net-price-calculator",39.914863,-104.943533,3
"Western State Colorado University","Gunnison","CO","www.western.edu","www.western.edu/future-students/financing-your-education/financial-aid-tools/net-price-calculator",38.547421,-106.91971,1
"Albertus Magnus College","New Haven","CT","www.albertus.edu","www.albertus.edu/bachelors-degrees/tuition-financial-aid/net-price-calculator.html",41.332519,-72.923848,2
"Paul Mitchell the School-Danbury","Danbury","CT","danbury.paulmitchell.edu","danbury.paulmitchell.edu/programs/Tuition-Calculator",41.39648,-73.451841,3
"Asnuntuck Community College","Enfield","CT","www.Asnuntuck.edu","www.commnet.edu/finaid/netprice/m_npcalc.htm",41.998409,-72.570177,1
"Branford Hall Career Institute-Branford Campus","Branford","CT","NULL","schooliya.com/peg/Branford/netpricecalc.html",41.278557,-72.848201,3
"Lincoln College of New England-Southington","Southington","CT","www.lincolncollegene.edu","www.lincolnedu.com/net-price-calculator",41.632345,-72.920217,3
"Bridgeport Hospital School of Nursing","Bridgeport","CT","www.bridgeporthospital.org/bhsn/","www2.bridgeporthospital.org/bhsn/current/ConsumerInformation/default.aspx#",41.189413,-73.165185,2
"University of Bridgeport","Bridgeport","CT","www.bridgeport.edu","tcc.noellevitz.com/%28S%28k34014tz2iylggsrv2pivjyt%29%29/University%20of%20Bridgeport/cost",41.165587,-73.189352,2
"Central Connecticut State University","New Britain","CT","www.ccsu.edu","web.ccsu.edu/npcalc/",41.690258,-72.770094,1
"Charter Oak State College","New Britain","CT","www.charteroak.edu","www.charteroak.edu/netcost",41.688246,-72.767972,1
"Connecticut Center for Massage Therapy-Newington","Newington","CT","www.ccmt.edu/programs.html","www.ccmt.edu/npcalc_ccmt.htm",41.685072,-72.710705,3
"Connecticut College","New London","CT","www.conncoll.edu","https://conncoll.studentaidcalculator.com/survey.aspx",41.379833,-72.107321,2
"Marinello Schools of Beauty-East Hartford","East Hartford","CT","www.marinello.com","www.marinello.com/financial-aid.aspx",41.771184,-72.642363,3
"Porter and Chester Institute of Branford","Branford","CT","www.porterchester.com","www.porterchester.com/financial-aid/calculator/",41.277311,-72.854898,3
"University of Connecticut","Storrs","CT","uconn.edu/","financialaid.uconn.edu/pricecalc/",41.806261,-72.247969,1
"Goodwin College","East Hartford","CT","www.goodwin.edu","www.goodwin.edu/institutional_effectiveness/pdfs/FinAid_NetPrice.pdf",41.74405,-72.6403,2
"Lincoln Technical Institute-East Windsor","East Windsor","CT","www.lincolnedu.com/campus/east-windsor-ct","www.lincolnedu.com/net-price-calculator",41.924248,-72.596915,3
"Eastern Connecticut State University","Willimantic","CT","www.easternct.edu/","https://easternct.studentaidcalculator.com/survey.aspx",41.721673,-72.218753,1
"Fairfield University","Fairfield","CT","fairfield.edu/","fairfield.edu/admissionaid/financialaidtuition/undergraduatefinancialaidtuition/netpricecalculator/",41.160732,-73.25778,2
"Paul Mitchell the School-North Haven","North Haven","CT","northhaven.paulmitchell.edu","northhaven.paulmitchell.edu/programs/Tuition-Calculator",41.394495,-72.85745,3
"Capital Community College","Hartford","CT","www.ccc.commnet.edu","www.ccc.commnet.edu/financialAid.htm",41.768397,-72.672734,1
"Rensselaer Hartford Graduate Center Inc","Hartford","CT","ewp.rpi.edu/index.html","www.rpi.edu/npc/",41.773462,-72.673916,2
"American Institute-West Hartford","West Hartford","CT","americaninstitute.edu","americaninstitute.com/locations/west-hartford-connecticut",41.727016,-72.725762,3
"Hartford Seminary","Hartford","CT","www.hartsem.edu","NULL",41.769861,-72.707766,2
"University of Hartford","West Hartford","CT","www.hartford.edu","https://hartford.studentaidcalculator.com/",41.796485,-72.714965,2
"Holy Apostles College and Seminary","Cromwell","CT","www.holyapostles.edu","www.holyapostles.edu/NetPriceCalculator/npcalc.htm",41.60682,-72.647853,2
"Housatonic Community College","Bridgeport","CT","www.hcc.commnet.edu","www.hcc.commnet.edu",41.175228,-73.191003,1
"Lyme Academy College of Fine Arts","Old Lyme","CT","www.lymeacademy.edu","lymeacademy.edu/NetPriceCalculator/",41.322826,-72.329397,2
"Manchester Community College","Manchester","CT","www.manchestercc.edu/","www.manchestercc.edu/enrollment/financial-aid/understanding-financial-aid/calculator/",41.760484,-72.562577,1
"Naugatuck Valley Community College","Waterbury","CT","www.nv.edu","www.commnet.edu/finaid/netprice/h_npcalc.htm",41.549564,-73.071209,1
"Middlesex Community College","Middletown","CT","www.mxcc.edu","www.commnet.edu/finaid/netprice/f_npcalc.htm",41.539516,-72.611838,1
"Mitchell College","New London","CT","www.mitchell.edu","community.mitchell.edu/CostCalculator",41.328075,-72.095337,2
"Three Rivers Community College","Norwich","CT","www.trcc.commnet.edu","www.trcc.commnet.edu/Div_StudentServices/FinancialAid/Cost.shtml",41.509945,-72.103039,1
"Lincoln Technical Institute-New Britain","New Britain","CT","www.lincolnedu.com/campus/new-britain-ct","www.lincolnedu.com/net-price-calculator",41.659236,-72.754498,3
"New England Tractor Trailer Training School of Connecticut","Somers","CT","WWW.NETTTS.COM","www.nettts.com/nettts-consumer-info.html",41.978355,-72.451739,3
"University of New Haven","West Haven","CT","www.newhaven.edu","https://newhaven.studentaidcalculator.com/survey.aspx",41.291314,-72.961472,2
"Ridley-Lowell Business & Technical Institute-New London","New London","CT","www.ridley.edu","https://www.ridley.edu/npc/newlondon/npcalc.htm",41.349947,-72.100514,3
"Norwalk Community College","Norwalk","CT","www.ncc.commnet.edu","www.ncc.commnet.edu/dept/financialaid/netpricecalc.asp",41.102574,-73.450965,1
"Northwestern Connecticut Community College","Winsted","CT","www.nwcc.commnet.edu","www.nwcc.edu/faservices.htm#Net_Price_Calculator",41.920982,-73.059291,1
"Paier College of Art Inc","Hamden","CT","www.paiercollegeofart.edu","www.paiercollegeofart.edu",41.347714,-72.935048,3
"Marinello Schools of Beauty-Meriden","Meriden","CT","www.marinello.com","www.marinello.com/financial-aid.aspx",41.524385,-72.763231,3
"Porter and Chester Institute of Stratford","Stratford","CT","www.porterchester.com","www.porterchester.com/financial-aid/calculator/",41.169646,-73.149023,3
"Post University","Waterbury","CT","www.post.edu/","https://www.post.edu/maincampus/npc.shtml",41.535334,-73.080525,3
"Quinebaug Valley Community College","Danielson","CT","www.qvcc.edu","www.commnet.edu/finaid/netprice/l_npcalc.htm",41.82623,-71.889673,1
"Quinnipiac University","Hamden","CT","www.quinnipiac.edu","https://quinnipiac.studentaidcalculator.com/welcome.aspx",41.419527,-72.895542,2
"Sacred Heart University","Fairfield","CT","www.sacredheart.edu","www.sacredheart.edu/admissions/financialassistance/netpricecalculator",41.221548,-73.24461,2
"University of Saint Joseph","West Hartford","CT","www.usj.edu","www.usj.edu/admissions-financial-aid/tuition-and-financial-aid/net-price-calculator/",41.783028,-72.730489,2
"Gateway Community College","New Haven","CT","www.gatewayct.edu/","www.commnet.edu/finaid/netprice/i_npcalc.htm",41.30432,-72.927191,1
"St Vincent's College","Bridgeport","CT","www.stvincentscollege.edu","npc.collegeboard.org/student/app/stvincentscollege",41.201198,-73.201106,2
"Southern Connecticut State University","New Haven","CT","www.southernct.edu","www.southernct.edu/netpricecalculator/npcalc.htm",41.331852,-72.948806,1
"Stone Academy-Hamden","West Haven","CT","www.stoneacademy.com","www.stone.edu/NetPrice/npcalc.htm",41.2678,-72.977191,3
"Tri-State College of Acupuncture","New York","NY","www.TSCA.edu","www.tsca.edu",40.739862,-74.002085,3
"Trinity College","Hartford","CT","www.Trincoll.edu","www.trincoll.edu/depts/finaid/EFCCalculator/trinityStart.html",41.746746,-72.688684,2
"Tunxis Community College","Farmington","CT","www.tunxis.edu","www.commnet.edu/finaid/netprice/npcalc.htm?coll=J",41.705498,-72.87754,1
"Wesleyan University","Middletown","CT","www.wesleyan.edu","https://wesleyan.studentaidcalculator.com/survey.aspx",41.55678,-72.656755,2
"Western Connecticut State University","Danbury","CT","www.wcsu.edu","www.wcsu.edu/admissions/netprice.asp",41.400365,-73.444264,1
"Yale-New Haven Hospital Dietetic Internship","New Haven","CT","www.ynhh.org","www.ynhh.org",41.304214,-72.935579,2
"Yale University","New Haven","CT","www.yale.edu","admissions.yale.edu/yale-net-price-calculator",41.311158,-72.926688,2
"Margaret H Rollins School of Nursing at Beebe Medical Center","Lewes","DE","www.beebehealthcare.org/school-nursing","www.beebeschoolofnursing.org",38.771265,-75.142425,2
"Dawn Career Institute Inc","Wilmington","DE","www.dawncareerinstitute.edu","www.dawncareerinstitute.edu/consumerinfo",39.754694,-75.594268,3
"Delaware Technical Community College-Owens","Georgetown","DE","https://www.dtcc.edu/our-campuses/georgetown","https://www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator",38.697344,-75.40752,1
"Delaware Technical Community College-Terry","Dover","DE","https://www.dtcc.edu/our-campuses/dover","https://www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator",39.198371,-75.56012,1
"Delaware Technical Community College-Stanton/Wilmington","Wilmington","DE","https://www.dtcc.edu/our-campuses/wilmington","https://www.dtcc.edu/admissions-financial-aid/tuition-fees/net-price-calculator",39.740346,-75.552084,1
"Delaware State University","Dover","DE","www.desu.edu","www.desu.edu/npc",39.187173,-75.54053,1
"University of Delaware","Newark","DE","www.udel.edu/","www.udel.edu/npc/",39.6795744,-75.7529169,1
"Goldey-Beacom College","Wilmington","DE","www.gbc.edu","https://campusweb.gbc.edu/ICS/Admissions/Admissions_Homepage.jnz?portlet=Net_Price_Calculator",39.742464,-75.694018,2
"Schilling-Douglas School of Hair Design LLC","Newark","DE","schillingdouglas.edu/","www.schillingdouglas.edu/calculator/netprice.htm",39.710939,-75.742386,3
"Wesley College","Dover","DE","www.wesley.edu","www.wesley.edu/prospective-students/financialaid/tuition-related-costs/net-price-calculator.html",39.16325,-75.527377,2
"Wilmington University","New Castle","DE","www.wilmu.edu","https://npc.collegeboard.org/student/app/wilmu",39.682299,-75.586998,2
"American University","Washington","DC","WWW.AMERICAN.EDU","www.american.edu/financialaid/Net-Price-Calculator-Form.cfm",38.937802,-77.090106,2
"Catholic University of America","Washington","DC","www.cua.edu","admissions.cua.edu/undergrad/finaid/NetPriceCalculator/calculator.html",38.935796,-76.998961,2
"University of the District of Columbia","Washington","DC","www.udc.edu","www.udc.edu/financial_aid/net_price_calculator",38.943819,-77.066247,1
"Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","Washington","DC","www.dhs.edu/","studentaid.ed.gov/repay-loans/understand/plans/standard/comparison-calculator",38.931427,-76.998806,2
"Gallaudet University","Washington","DC","www.gallaudet.edu","admissions.gallaudet.edu/Financial_info/NetPrice/npcalc.htm",38.907371,-76.993675,2
"George Washington University","Washington","DC","www.gwu.edu","undergraduate.admissions.gwu.edu/net-price-calculator",38.89865,-77.047871,2
"Georgetown University","Washington","DC","www.georgetown.edu","finaid.georgetown.edu/net-price-calc",38.908809,-77.073463,2
"Howard University","Washington","DC","www.howard.edu","www.howard.edu/financialaid/netprice/npcalc.htm",38.920739,-77.019478,2
"Medtech Institute","Falls Church","VA","www.medtech.edu/schools/falls-church-virginia","www.medtech.edu/financial-services/net-price-calculator",38.86969,-77.170381,3
"Strayer University-District of Columbia","Washington","DC","www.strayer.edu/district-columbia/washington","https://strayer.aidcalc.com/netprice.htm",38.904851,-77.034349,3
"National Conservatory of Dramatic Arts","Washington","DC","www.theconservatory.org","www.theconservatory.org/net-price-caculator.html",38.910024,-77.065095,2
"Trinity Washington University","Washington","DC","www.trinitydc.edu","www.trinitydc.edu/enrollment/trinity-is-affordable/",38.927398,-77.004261,2
"Wesley Theological Seminary","Washington","DC","www.wesleyseminary.edu/","www.wesleyseminary.edu/financialaid",38.939606,-77.08996,2
"Wyotech-Daytona","Ormond Beach","FL","www.wyotech.com","www.Wyotech.edu/npc",29.349365,-81.133086,3
"The Art Institute of Fort Lauderdale","Fort Lauderdale","FL","www.aifl.edu","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator",26.101246,-80.123514,3
"Atlantic Technical College","Coconut Creek","FL","www.atlantictechnicalcollege.edu","www.atlantictechcenter.com/ATCStudents/FinancialAid/NetPriceCalculator/tabid/904/language/en-US/Default.aspx",26.243609,-80.185311,1
"The Baptist College of Florida","Graceville","FL","www.baptistcollege.edu","www.baptistcollege.edu/finances/npcalc.asp",30.956401,-85.519033,2
"Barry University","Miami","FL","www.barry.edu","www.barry.edu/netpricecalculator/default.htm",25.878865,-80.196136,2
"Gooding Institute of Nurse Anesthesia","Panama City","FL","www.baymedical.org","www.baymedical.org",30.201524,-85.649812,3
"Bethune-Cookman University","Daytona Beach","FL","www.cookman.edu","nces.ed.gov/ipeds/netpricecalculator/",29.210193,-81.031429,2
"Lynn University","Boca Raton","FL","www.lynn.edu","www.lynn.edu/admissions/cost-and-aid/costs/day-undergraduate",26.382777,-80.123851,2
"GUTI The Premier Beauty & Wellness Academy","Bradenton","FL","www.mybeautyacademy.com","www.mybeautyacademy.com",27.46281,-82.602211,3
"Bradford-Union Technical Center","Starke","FL","www.butc.edu","www.butc.edu",29.952134,-82.123082,1
"Eastern Florida State College","Cocoa","FL","www.easternflorida.edu","www.easternflorida.edu/admissions/financial-aid-scholarships/financial-aid-information/npcalc-iframe.cfm",28.384791,-80.75813,1
"Broward College","Fort Lauderdale","FL","www.broward.edu","www.broward.edu/financialaid/Pages/Net-Price-Calculator.aspx",26.07972,-80.23541,1
"Fortis College-Winter Park","Winter Park","FL","www.fortis.edu","www.fortisedu.info/",28.555401,-81.448402,3
"Carlos Albizu University-Miami","Miami","FL","www.albizu.edu","www.albizu.edu/NetPriceCalculator/npcalc.htm",25.795162,-80.355002,2
"College of Central Florida","Ocala","FL","www.cf.edu","https://mycf.cf.edu/ics/clientconfig/HtmlContent/npcalc.htm",29.166079,-82.175692,1
"Johnson University Florida","Kissimmee","FL","www.johnsonu.edu/florida","www.johnsonu.edu/Florida/Future-Students/Financial-Aid/Net-Price-Calculator.aspx",28.301869,-81.362512,2
"University of Central Florida","Orlando","FL","www.ucf.edu/","finaid.ucf.edu/NetPriceCalculator/",28.60106,-81.198805,1
"Charlotte Technical Center","Port Charlotte","FL","www.yourcharlotteschools.net/ctc","www.yourcharlotteschools.net/ctc",27.005558,-82.147238,1
"Chipola College","Marianna","FL","www.chipola.edu","www.chipola.edu/financialaid/NetPriceCalculator/npcalc.htm",30.790647,-85.231946,1
"Clearwater Christian College","Clearwater","FL","www.clearwater.edu","https://www.clearwater.edu/financialaid/estimator.asp",27.963556,-82.697305,2
"Lorenzo Walker Technical College","Naples","FL","lwit.edu","lwit.edu",26.141199,-81.763355,1
"Daytona State College","Daytona Beach","FL","www.DaytonaState.edu","www.daytonastate.edu/finaid/calculator.html",29.202286,-81.051266,1
"South University-West Palm Beach","Royal Palm Beach","FL","www.southuniversity.edu","tcc.noellevitz.com/edmc/South Net Price Calculator",26.69165,-80.19969,3
"Eckerd College","Saint Petersburg","FL","www.eckerd.edu","www.eckerd.edu/calculator",27.718996,-82.685992,2
"Florida SouthWestern State College","Fort Myers","FL","www.fsw.edu/","www.fsw.edu/financialaid/netprice",26.554737,-81.887375,1
"Edward Waters College","Jacksonville","FL","www.ewc.edu","www.ewc.edu/NetPrice/npcalc.htm",30.34513,-81.684817,2
"Embry-Riddle Aeronautical University-Daytona Beach","Daytona Beach","FL","www.erau.edu","erau.studentaidcalculator.com/welcome.aspx",29.189244,-81.0495,2
"Florida Agricultural and Mechanical University","Tallahassee","FL","www.famu.edu","www.famu.edu/index.cfm?FinancialAid&EstimatingCost(NPC)",30.428554,-84.285644,1
"Florida Atlantic University","Boca Raton","FL","www.fau.edu/","www.fau.edu/admissions/npcalc.htm",26.372536,-80.102293,1
"Florida State College at Jacksonville","Jacksonville","FL","www.fscj.edu","www.fscj.edu/discover-fscj/consumer-information",30.334918,-81.659901,1
"Flagler College-St Augustine","Saint Augustine","FL","www.flagler.edu","www.flagler.edu/admissions-aid/financial-aid/calculator/freshman/",29.89335,-81.315256,2
"Florida College","Temple Terrace","FL","www.floridacollege.edu","www.floridacollege.edu",28.034911,-82.383446,2
"Concorde Career Institute-Jacksonville","Jacksonville","FL","www.concorde.edu","www.concorde.edu",30.23977,-81.581821,3
"Concorde Career Institute-Miramar","Miramar","FL","www.concorde.edu","www.concorde.edu/netpricecalculator/mshv_netpricecalculator/npcalc.htm",26.175119,-80.203007,3
"Concorde Career Institute-Tampa","Tampa","FL","www.concorde.edu","www.concorde.edu/",27.959058,-82.515082,3
"Adventist University of Health Sciences","Orlando","FL","www.adu.edu","npc.collegeboard.org/student/app/fhchs",28.576142,-81.367687,2
"Florida Institute of Technology","Melbourne","FL","www.fit.edu","https://fit.studentaidcalculator.com/survey.aspx",28.064503,-80.624628,2
"Florida Institute of Ultrasound Inc","Pensacola","FL","www.fiuonline.net","www.fiuonline.net",30.534939,-87.220615,3
"Florida International University","Miami","FL","www.fiu.edu","www.collegeportraits.org/FL/FIU/estimator/agree",25.757111,-80.377591,1
"Florida Keys Community College","Key West","FL","www.fkcc.edu","www.fkcc.edu/skins/userfiles/file/Financial%20Aid/net_price_calc/npcalc.htm",24.582748,-81.74446,1
"Florida Memorial University","Miami Gardens","FL","www.fmuniv.edu","www.fmuniv.edu/netpricecalc/npcalc.htm",25.917854,-80.270672,2
"Florida Career College-Miami","Miami","FL","www.anthem.edu/","www.anthem.edu/tuition-and-fees/#npc",25.755342,-80.366666,3
"Florida School of Massage","Gainesville","FL","www.floridaschoolofmassage.com/","www.floridaschoolofmassage.com/prospective-students/npcalc.htm",29.593484,-82.338528,3
"Florida Southern College","Lakeland","FL","www.flsouthern.edu","www.flsouthern.edu/admissions/financial-aid.aspx",28.031507,-81.945791,2
"Florida State University","Tallahassee","FL","www.fsu.edu","www.collegeportraits.org/FL/FSU/estimator",30.4421,-84.294801,1
"Florida Technical College","Orlando","FL","www.ftccollege.edu","www.ftccollege.edu/disclosures.html",28.57316,-81.196091,3
"University of Southernmost Florida","Jacksonville","FL","www.usmf.edu","www.usmf.edu",30.3257,-81.550041,3
"University of Florida","Gainesville","FL","www.ufl.edu/","npc.collegeboard.org/student/app/ufl",29.649428,-82.339958,1
"Everest University-Pompano Beach","Pompano Beach","FL","www.everest.edu/campus/pompano_beach","www.Everest.edu/npc",26.234119,-80.103598,3
"Fort Pierce Beauty Academy","Fort Pierce","FL","fpbeauty.com","acadm.fpbeauty.net/fp/npcalc.htm",27.412426,-80.324698,3
"Full Sail University","Winter Park","FL","www.fullsail.edu","https://fullsail.studentaidcalculator.com/welcome.aspx",28.596546,-81.301286,3
"George Stone Technical Center","Pensacola","FL","www.georgestonecenter.com","www.georgestonecenter.com/NetPriceCalculator/npcalc.htm",30.488083,-87.295105,1
"George T Baker Aviation Technical College","Miami","FL","www.bakeraviation.edu","www.bakeraviation.edu",25.804092,-80.263591,1
"Gulf Coast State College","Panama City","FL","www.gulfcoast.edu/default.htm","www.gulfcoast.edu/netprice/1314/npcalc.htm",30.186104,-85.727249,1
"Key College","Dania Beach","FL","www.keycollege.edu","www.keycollege.edu",26.052841,-80.139871,3
"Hillsborough Community College","Tampa","FL","www.hccfl.edu","www.hccfl.edu/financialaid/netpricecalculator/npcalc.htm",27.934513,-82.456919,1
"Hobe Sound Bible College","Hobe Sound","FL","www.hsbc.edu","www.hsbc.edu/wp-content/uploads/2015/06/HSBC-Tuition-15-16.pdf",27.066473,-80.132413,2
"Hollywood Institute of Beauty Careers","Hollywood","FL","www.hi.edu","www.hi.edu/npcalc.htm",26.006778,-80.207528,3
"Cortiva Institute-Florida","Pinellas Park","FL","www.cortiva.com","www.cortiva.com/npc/florida/npcalc.htm",27.839722,-82.688959,3
"Indian River State College","Fort Pierce","FL","www.irsc.edu","https://esweb.irsc.edu/Mariner/finaid/netprice/npcalc.htm",27.423121,-80.35785,1
"Sanford-Brown College-Tampa","Tampa","FL","www.sanfordbrown.edu/Tampa","www.sanfordbrown.edu/Tuition-and-Financial-Aid/Financial-Aid-Tools/Net-Price-Calculator",27.952884,-82.504433,3
"International Academy","South Daytona","FL","www.intl-academy.com","www.intl-academy.edu",29.162159,-80.997811,3
"AI Miami International University of Art and Design","Miami","FL","www.artinstitutes.edu/miami/","tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator",25.790008,-80.18839,3
"ITT Technical Institute-Tampa","Tampa","FL","www.itt-tech.edu","www.itt-tech.edu/npc",27.982417,-82.547618,3
"Jacksonville University","Jacksonville","FL","www.jacksonville.edu","www.ju.edu/financialaid/Pages/default.aspx",30.350349,-81.60706,2
"Jones College-Jacksonville","Jacksonville","FL","www.jones.edu","netprice.jones.edu/",30.328002,-81.610068,2
"Keiser University-Ft Lauderdale","Fort Lauderdale","FL","www.keiseruniversity.edu","www.keiseruniversity.edu/financial_services.php",26.185869,-80.163959,2
"Heritage Institute-Ft Myers","Fort Myers","FL","heritage-education.com","www.heritage-education.com",26.540884,-81.842475,3
"La Belle Beauty School","Hialeah","FL","labellebeauty.net","labellebeauty.net",25.86696,-80.312721,3
"Florida Gateway College","Lake City","FL","https://www.fgc.edu/","https://www.fgc.edu/gainful-employment-and-net-price-calculator/",30.174307,-82.569667,1
"Lake Technical College","Eustis","FL","www.laketech.org","www.laketech.org/NetPriceCalculator/npcalc.htm",28.833446,-81.690874,1
"Lake-Sumter State College","Leesburg","FL","www.lssc.edu","www.lssc.edu/admissions/Pages/Net-Price-Calculator.aspx",28.830237,-81.797731,1
"Fort Myers Technical College","Fort Myers","FL","www.fortmyerstech.edu","voc.leeschools.net/userfiles/file/Net%20Price%20Calculator/npcalc.htm",26.64855,-81.832974,1
"Lively Technical Center","Tallahassee","FL","www.livelytech.com","www.livelytech.com",30.448534,-84.339057,1
"Lindsey Hopkins Technical College","Miami","FL","lindsey.dadeschools.net","lindsey.dadeschools.net/forms/netpricecalc/npcalc.htm",25.794676,-80.208154,1
"Loraines Academy & Spa","Saint Petersburg","FL","www.lorainesacademy.edu/","www.lorainesacademy.edu/",27.781266,-82.711151,3
"Luther Rice University & Seminary","Lithonia","GA","www.LutherRice.edu","www.lutherrice.edu/netprice.aspx",33.697984,-84.123648,2
"State College of Florida-Manatee-Sarasota","Bradenton","FL","www.scf.edu","www.scf.edu/StudentServices/FinancialAid/default.asp",27.436066,-82.591739,1
"Manatee Technical College","Bradenton","FL","manateetech.edu/","manateetech.edu/",27.446201,-82.480472,1
"Manhattan Hairstyling Academy","Tampa","FL","www.manhattanhairstylingacademy.com","www.manhattanhairstylingacademy.com/consumer-information.php",27.902454,-82.518444,3
"Traviss Career Center","Lakeland","FL","www.traviss.edu","nces.ed.gov/collegenavigator/",27.99579,-81.893503,1
"Merryfield School of Pet Grooming","Oakland Park","FL","www.merryfieldschool.com","www.merryfieldschool.com/net-price-calculator/",26.19042,-80.129971,3
"Trinity International University-Florida","Davie","FL","www.florida.tiu.edu","www.florida.tiu.edu/admissions/financial-aid/cost-calculator.dot",26.099656,-80.257156,2
"Miami Lakes Educational Center and Technical College","Miami Lakes","FL","miamilakes.edu","miamilakes.edu/NetPriceCalculator/npcalc.htm",25.916128,-80.29513,1
