"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Selma University","Selma","AL","selmauniversity.edu","selmauniversity.edu/NetPriceCalculator/npcalc.htm",32.420358,-87.033826,2
"Shelton State Community College","Tuscaloosa","AL","www.sheltonstate.edu","www.sheltonstate.edu/financial_aid/price_calculator.aspx",33.120531,-87.56148,1
"Snead State Community College","Boaz","AL","www.snead.edu","www.snead.edu/financial_aid/net_price_calculator.aspx",34.201247,-86.169479,1
"University of South Alabama","Mobile","AL","www.southalabama.edu","instresrch.usouthal.edu/npc/",30.695081,-88.18189,1
"Spring Hill College","Mobile","AL","www.shc.edu","www.shc.edu/ug/tuition-and-financial-aid/resources/net-price-calculator",30.694751,-88.138199,2
"Southeastern Bible College","Birmingham","AL","www.sebc.edu","www.sebc.edu/finaid/net-price-calculator/",33.378935,-86.749045,2
"Stillman College","Tuscaloosa","AL","www.stillman.edu","www.stillman.edu/finanical-aid/npcalc.htm",33.199228,-87.585242,2
"Talladega College","Talladega","AL","www.talladega.edu","www.talladega.edu/netcalc/npcalc.htm",33.434258,-86.113675,2
"H Councill Trenholm State Community College","Montgomery","AL","www.trenholmstate.edu","www.trenholmstate.edu",32.350109,-86.343057,1
"Troy University","Troy","AL","www.troy.edu","www.troy.edu/admissions/net-price-calculator.html",31.800128,-85.950191,1
"Tuskegee University","Tuskegee","AL","www.tuskegee.edu","www.tuskegee.edu",32.431021,-85.710315,2
"United States Sports Academy","Daphne","AL","www.ussa.edu","NULL",30.639329,-87.91163,2
"Bevill State Community College","Jasper","AL","www.bscc.edu","www.bscc.edu/financialaid/npcalculator.php",33.835785,-87.265034,1
"University of Alaska Anchorage","Anchorage","AK","www.uaa.alaska.edu","www.uaa.alaska.edu/financialaid/customcf/npcalc.htm",61.189554,-149.826135,1
"Alaska Bible College","Palmer","AK","www.akbible.edu/","www.akbible.edu/misc/NetPriceCalculator/npcalc.htm",61.59843,-149.111341,2
"University of Alaska Fairbanks","Fairbanks","AK","www.uaf.edu","www.uaf.edu/finaid/net-price-calculator/",64.856483,-147.822943,1
"University of Alaska Southeast","Juneau","AK","www.uas.alaska.edu","www.uas.alaska.edu/financial_aid/costs/npcalc.htm",58.38427,-134.636346,1
"Alaska Pacific University","Anchorage","AK","www.alaskapacific.edu","https://my.alaskapacific.edu/uniquesigce3d1b55322415c149deda8964ead9cb/uniquesig0/SecureInternalMyPortalHomePage/",61.191235,-149.804242,2
"AVTEC-Alaska's Institute of Technology","Seward","AK","www.avtec.edu/","www.avtec.edu/book-page/net-price-calculator",60.110727,-149.444573,1
"Charter College-Anchorage","Anchorage","AK","www.chartercollege.edu","chartercollege.studentaidcalculator.com/survey.aspx",61.195786,-149.840178,3
"Alaska Career College","Anchorage","AK","www.alaskacareercollege.edu","www.alaskacareercollege.edu",61.181443,-149.856954,3
"Everest College-Phoenix","Phoenix","AZ","www.everestcollegephoenix.edu","www.Everestcollegephoenix.edu/npc",33.580985,-112.113845,3
"Collins College","Phoenix","AZ","www.collinscollege.edu","collinscollege.studentaidcalculator.com",33.40334,-111.98646,3
"Empire Beauty School-Paradise Valley","Phoenix","AZ","www.empire.edu","www.empire.edu/net-price-calculator",33.602593,-111.976357,3
"Empire Beauty School-Tucson","Tucson","AZ","www.empire.edu","www.empire.edu/net-price-calculator",32.235657,-110.927187,3
"Thunderbird School of Global Management","Glendale","AZ","www.thunderbird.edu","NULL",33.620887,-112.180861,2
"American Indian College Inc","Phoenix","AZ","www.aicag.edu/","tcc.noellevitz.com/(S(4p4qij4ob5pgxppl5hhsfr4y))/American%20Indian%20College%20of%20the%20Assemblies%20of%20God/Freshman-Students",33.577738,-112.092247,2
"American Institute of Technology","Phoenix","AZ","www.ait-schools.com","www.ait-schools.com",33.442262,-112.175304,3
"Carrington College-Phoenix","Phoenix","AZ","www.carrington.edu","carrington.edu/financial-aid/net-price-calculator/carrington-college/",33.560821,-112.115546,3
"Carrington College-Mesa","Mesa","AZ","www.carrington.edu","carrington.edu/financial-aid/net-price-calculator/carrington-college/",33.39207,-111.855281,3
"Carrington College-Tucson","Tucson","AZ","www.carrington.edu","carrington.edu/financial-aid/net-price-calculator/carrington-college/",32.224,-110.982961,3
"CollegeAmerica-Flagstaff","Flagstaff","AZ","www.collegeamerica.edu","https://www.collegeamerica.edu/net-price-calculator",35.194607,-111.65739,2
"Arizona Academy of Beauty-East","Tucson","AZ","www.arizonaacademy.com","www.arizonaacademy.com",32.237253,-110.872305,3
"Arizona Automotive Institute","Glendale","AZ","www.aai.edu","www.aai.edu/student-financial-aid",33.537249,-112.157344,3
"Brookline College-Phoenix","Phoenix","AZ","www.brooklinecollege.edu","brooklinecollege.studentaidcalculator.com/survey.aspx",33.525384,-112.15007,3
"Arizona State University-Tempe","Tempe","AZ","www.asu.edu/","https://students.asu.edu/financialaid/net-price",33.422247,-111.934629,1
"Arizona Western College","Yuma","AZ","www.azwestern.edu","https://www.azwestern.edu/finance_and_administrative/business_services/student_finances/npcalc.html",32.689306,-114.495968,1
"University of Arizona","Tucson","AZ","www.arizona.edu","oirps.arizona.edu/npc.html",32.232071,-110.950769,1
"Southwest University of Visual Arts-Tucson","Tucson","AZ","www.suva.edu","www.suva.edu/npcalc.htm",32.252384,-110.927321,3
"Central Arizona College","Coolidge","AZ","www.centralaz.edu","doc.centralaz.edu/NetPriceCalculator/npcalc.htm",32.957092,-111.652501,1
"Brown Mackie College-Tucson","Tucson","AZ","www.brownmackie.edu","tcc.noellevitz.com:80/edmc/Brown-Mackie%20Net%20Price%20Calculator",32.236736,-110.895086,3
"Charles of Italy Beauty College","Lake Havasu City","AZ","www.charlesofitaly.edu","www.charlesofitaly.edu",34.475275,-114.328134,3
"Cochise County Community College District","Douglas","AZ","www.cochise.edu","www.cochise.edu/netprice/npcalc.htm",31.365757,-109.690422,1
"Empire Beauty School-Flagstaff","Flagstaff","AZ","www.empire.edu","www.empire.edu/net-price-calculator",35.197151,-111.625936,3
"Empire Beauty School-Chandler","Chandler","AZ","www.empire.edu","www.empire.edu/net-price-calculator",33.347586,-111.860423,3
"Cortiva Institute-Tucson","Tucson","AZ","www.cortiva.com/","www.cortiva.com/npc/tucson/npcalc.htm",32.21901,-110.856785,3
"Avalon School of Cosmetology-Mesa","Mesa","AZ","avalon.edu/locations/mesa-az/","www.avalon.edu/admissions-process/financial-aid/",33.376583,-111.858305,3
"Eastern Arizona College","Thatcher","AZ","www.eac.edu","eac.edu/Student_Services/Financial_Aid/Net_Price/default.shtm",32.840719,-109.761664,1
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","www.erau.edu","erau.studentaidcalculator.com/welcome.aspx",34.615678,-112.452285,2
"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","www.taliesin.edu","taliesin.edu/tuition.html",33.60715,-111.846477,2
